vol_num,等級,立意,結構,修辭,敘述,啟發,總分,題目,作答
104_C11,A+,5,5,5,5,5,25,"在傳統價值中，總是鼓勵人們貢獻所能，分享所有。但兩人間的愛情承諾不容第三者分享，一向符合世道輿情；有些商家只讓會員獨享優惠，也有合理目的。此外，有些生活中的趣味本來就不需要、甚至無法與別人分享，例如：一杯啜飲咖啡的時光、一竿臨溪垂釣的等待、一路揮汗慢跑的苦練……，都可能如王維所說：「興來每獨往，勝事空自知」。
請以「獨享」為題，寫一篇文章，談論關於「獨享」的經驗、體會或反思，論說、記敘、抒情皆可，文長不限。","三
        獨享
　　手指如流水般從琴枕傾瀉而下，玫瑰金色的琴弦因我的一彈一撥在陽光下顫動，柔暖的淡色音符便從指間汨汨滲出，在微涼的空氣中交織出一幅圖騰，隨節奏快慢而改變陣列。我放下雙手，任憑餘光下的塵埃落定，我享受這份獨享的美妙，只有吉他與我共鳴。
    我相信生活在這雜亂嘈嚷的城巿中，必會有心神不定之時，茫然與慌張攀上心頭，在心尖上鑽洞，而黑暗與沮洳如潮水襲來，猛烈拍打脆弱的靈魂。這時若能有一段能沉澱方寸，安撫傷痕之處，供自己獨自享用，便是最好的療癒方法。於我來說，彈吉他即是如此，我能將最真實的自己呈現出來，藉它有如女中音般低沉純淨的嗓，靜靜將我一切所思所想唱成一譜屬於我的曲。若是苦痛氾濫，哀淒顫抖的連音便成串的奔騰而出，我看見一匹匹身受重傷仍堅毅不拔的馬在房內踩踏，隨著牠們越來越快的步伐，我心頭深墨的一塊痂便逐漸剝落，生出了新的血肉。而若是心情愉悅之時，輕快的小調就如同振翅鼓動的青鳥，在我身旁盤桓不止，時不時的哼起小曲，替我將喜與樂潑散在空氣中；弦上舞動的手指就像活潑的舞者，一跳一躍都充斥著滿溢的情感。
    我無法想像生活在沒有這段獨享時間的任何事情。若是少了這塊心靈的寶地，我或許會被黑暗的魔鬼啃囓殆盡，醜惡在臟腑之中咆哮衝撞，最終我的心靈將會崩裂於此，失去鮮活的色彩。吉他於我，就如同詩和詩人，是留予自己品嚐享用的；也如同孤獨的釣叟與冷寒的湖，是將自己沉澱與平撫的，是一處只有自己與自己對話的時刻，不受任何外在的干擾，只是靜靜的將身心都擺於此處，感受更深處的聲音，側耳傾聽。
    深吸一口氣，我再次撫上泛著熠熠光輝的弦，每一次的觸碰彈撥皆在空氣中激起了潔白的浪花。在這只有我的時刻，勾勒了一篇篇璀璨的念想。
"
104_C10,A+,5,5,5,5,5,25,"在傳統價值中，總是鼓勵人們貢獻所能，分享所有。但兩人間的愛情承諾不容第三者分享，一向符合世道輿情；有些商家只讓會員獨享優惠，也有合理目的。此外，有些生活中的趣味本來就不需要、甚至無法與別人分享，例如：一杯啜飲咖啡的時光、一竿臨溪垂釣的等待、一路揮汗慢跑的苦練……，都可能如王維所說：「興來每獨往，勝事空自知」。
請以「獨享」為題，寫一篇文章，談論關於「獨享」的經驗、體會或反思，論說、記敘、抒情皆可，文長不限。","三、
        獨享
　　清秋十月，流火餘溫在北投烘熟了一山山的黃葉，風過，一陣教人悸顫的脆響簌簌，離枝委地的木葉，恰如我的腳步踼踏，響在北投文物館的青石庭階上。我每月來此修習日本茶道，總沉醉於獨享這細碎的聲響，光影閃動中的幽玄之美。
    四百年前，日本茶聖千利修剪去滿園盛開的朝顏花，獨獨留下一枝置於茶室掛軸下。透入紙窗的光，溫柔地托住花萼，顯得益增纖淨無垢。千利修內斂卻直接的「侘寂」美學，令慣看戰場生死的豐臣秀吉也為之震憾，甚且在凝視中得到如沐光華的平靜，這是獨享的力量。因少了滿園花開的紛雜，豐臣秀吉能夠獨享那一枝，專注的感受生命的力量，從而得到非同一般的領悟。
    我滑步進入茶道教室，端坐在方整的榻榻米上，今日的掛軸是一句禪偈：「秋山風月清」。我揣摩那般心緒卻無端想起法國雕塑家羅丹。他以雕刀刻出旦丁默然沉思《神曲》的姿態——赤祼的肌肉緊繃而有力，一雙深蹙的眉與凝黑如墨的眼睛，如淵般深邃，像一本森森尖刀，看遍天堂地獄的萬般命運，刺進人心意志最幽深的地方。如此傾力之作，卻被視為怪誕醜陋，因不合乎古典和諧，使羅丹終身被排除於沙龍名流之外。然而，他卻不以為意，他的作品，他的美，只有他能體會，亦只該留予他一人獨享。
    一句「秋山風月清」，是褪盡色彩之後的爽淨，是一人獨享的沉靜，是千利修剪去滿園花開，獨享一枝的專注，亦是羅丹執著自信，獨自欣賞的堅持。
    我想，美的莊嚴與峭拔，並不在其數量之大，更不在其圍觀人數之多。真正的美，只有在摘除多餘，遠離眾人之時，才能完全用心感受。許多感動與震憾，皆來自獨享之時，也只有於獨享之時，方能尋得林語堂所謂「會心的一笑」。
    茶具逐一準備停當，四方俏然，只聽見茶釜內泉水鳴響咻咻。此刻，我心思飛逸，雖尚未喝茶，心中已然漲滿感動，如一脈清香，浸透一地的老秋風光。
"
104_C04,A+,5,5,5,4,5,24,"在傳統價值中，總是鼓勵人們貢獻所能，分享所有。但兩人間的愛情承諾不容第三者分享，一向符合世道輿情；有些商家只讓會員獨享優惠，也有合理目的。此外，有些生活中的趣味本來就不需要、甚至無法與別人分享，例如：一杯啜飲咖啡的時光、一竿臨溪垂釣的等待、一路揮汗慢跑的苦練……，都可能如王維所說：「興來每獨往，勝事空自知」。
請以「獨享」為題，寫一篇文章，談論關於「獨享」的經驗、體會或反思，論說、記敘、抒情皆可，文長不限。","三、引導寫作
        獨享
    佛祖見迦葉而拈花微笑，兩人之間的會心無法為外人共享；蔣勳獨自踏上希臘的斷垣殘壁，發出「帝國屬於歷史，夕陽屬於神話」的囈語，他的思古幽情，只能獨自默默享受。人生許多事雖值得摯友間一同涵泳，但有時興來每獨往，許多曇花一現的體悟，只能獨享。
    挑一個清閒的午後，偶爾撇開身為高三生的沉重課業，到家裡對邊的磺溪，當個自我放逐的隱者。戴起耳機，史汀空靈的歌聲自耳畔汨汨流淌——那是屬於一個人的享受。路邊野草蔓蔓，頭白色的秋日芒草，從溪邊為硫氣剝蝕的石縫間，鑽出頭來，隨著西風悠然的搖曳，河面上蜻蜓生氣蓬勃，如一個個頑皮的精靈，在水上輕激起漣漪，宛如用魔法棒在磺溪上施展著奇幻的魔力。「擁懷天地的人，有簡單的寂寞。」，這是我剛才在書房中所讀到的課堂詩句，在書上反覆吟詠，苦澀而難以喻之於懷，然而現今獨自慢跑，靜觀萬世萬態，這樣的詩句竟像兒歌一般，輕易的從口中哼唱出來。品茗自然，是一個人才能咀嚼的享受。
    行了一公里餘，腳步逐漸遲緩，汗涔涔滴落，我決定倚著老榕樹歇息一會兒。有時看著嬉戲的孩童，和家人們分享著今天在學校的所見所聞，我會彎下腰，揣摩著孩童的世界，我會細細傾聽他們今天玩耍的歡愉、被老師責備的委曲，我嘗試著用最天真而無機心的視角，觀覽著參天的巨木，匆匆路過的巨人——此時與味屬於自己，一個懷著赤子之心的自己。回到了家，淋一場沁涼的冷水澡，清水從指間緩緩流過，沖去了身上的塵泥，淋漓的汗水，也滌去一日的疲憊。偶然的出走後，我又是全新的自己。
    少去了繁華的霓紅燈相伴，我們能仰頭望見璀燦的星辰；偶爾獨自翱翔的鳥兒，可以看著雲無心出岫，甚至忘了歸返。獨享，是洗盡鉛華後「迥然見真吾亦吾」的純粹，是少了人群議論宣擾後，那水落石出的心靈。我愛那偶爾面對狐寂時，享受自然風光、了無罣礙之美。在獨享中，我陶然自得。
"
104_C03,B+,3,3,3,3,3,15,"在傳統價值中，總是鼓勵人們貢獻所能，分享所有。但兩人間的愛情承諾不容第三者分享，一向符合世道輿情；有些商家只讓會員獨享優惠，也有合理目的。此外，有些生活中的趣味本來就不需要、甚至無法與別人分享，例如：一杯啜飲咖啡的時光、一竿臨溪垂釣的等待、一路揮汗慢跑的苦練……，都可能如王維所說：「興來每獨往，勝事空自知」。
請以「獨享」為題，寫一篇文章，談論關於「獨享」的經驗、體會或反思，論說、記敘、抒情皆可，文長不限。","三、
        獨享
    俗話說「獨樂樂不如眾樂樂」，在人身的道路上，我們常與人分享與這大千世界的體悟，乃至於對自然萬物的共鳴，夫柳宗元譜下永州八記，貝多芬詮釋快樂頌，皆有所感而與眾人共享；但，在這悠遠人生長河之中，卻有那麼一些片刻，是舞台上鎂光燈所看不見的，是血與汗交織出來的動人篇章，而這些種種成就與愉悅，卻是非親生經歷而無法體會，是個人獨享的美好時光。
    炎炎溽暑，正當別人窩在冷氣房偷得半日閒之時，我卻身處這小小綠色一隅，為自己的理想而奮鬥；耳邊不時傳來球拍與球輕脆的撞擊聲，隨著力量的傳導，使那靈*龍*的球，時而如雄鷹般遨翔於天際，時而如精靈般，在網前低語跳躍；斗大的汗水從我額間滑過，呼吸緊促之於卻難掩心中的康*慨激昂，眼睛所見的，全是筆*賽種種精彩畫面，與自己奪得榮耀的身影，為了這初次的羽球參賽，我不畏艱辛，不畏困難，僅*管動作單一無趣，僅*管體力已快逼近極限，我仍禁*持下去，把任何切球、殺球做到盡善盡美，因為我知道，這時間與汗水不會白流，種種辛苦之後的成功果實，是他人難以言語，而我獨享的快樂。
    世間之樂千百種，然則於山林之樂、宴遊之樂、與人同樂之外，真正能為心靈滋補養份的，是那跨躍*艱辛，奮鬥努力下來，只有自己親身感受那成就、理想達成的快樂；就如十九世紀的印象派畫家們，僅*管一開始不為時局所接受，但他們仍禁*持自己，抛棄當時的室內創作，而投入自然的懷抱，於自然光千變萬化之下體驗最真實的自然面貌，而這過程，卻是只有他們所獨享的，那色彩斑爛下光影的悸動，樹影婆娑之姿，以及人與大地最完美的結合；這是即使觀賞那莫內的《日出》，米勒的《拾穗》、梵谷的《星空》，而難以及其十分之一，他們所獨享的成就與感動。
    時間的齒輪永不停止轉動，面對之後人生之路，我相信會以更多難關等待我去克服，但我會勇敢面對，堅持理想，而那成功的彼岸到來的喜悅，終是我獨享最美好的回憶。
"
104_C02,A+,5,5,4,4,5,23,"在傳統價值中，總是鼓勵人們貢獻所能，分享所有。但兩人間的愛情承諾不容第三者分享，一向符合世道輿情；有些商家只讓會員獨享優惠，也有合理目的。此外，有些生活中的趣味本來就不需要、甚至無法與別人分享，例如：一杯啜飲咖啡的時光、一竿臨溪垂釣的等待、一路揮汗慢跑的苦練……，都可能如王維所說：「興來每獨往，勝事空自知」。
請以「獨享」為題，寫一篇文章，談論關於「獨享」的經驗、體會或反思，論說、記敘、抒情皆可，文長不限。","三、引導寫作
        獨享
    古人嘗言；「施比受更有福」，人應將其所獲分享於眾，達「眾樂槳」的至樂，然而總有些無法言喻的喜悅是限於一人獨享的，畢竟鐘鼎山林，人各有志，吾所愛者或許得不到他人讚賞，如此欲盡分享之使命又無法博君一笑，豈不掃興？是故，我自私地將我所鍾情的校園一隅私藏於心，待人煙散去，萬籟俱寂只剩微風輕拂，我蜷縮在此啜飲著「獨享」的真樂。
    校舍頂樓是雅觀的木製平台，北望是蒼翠的陽明山，嬾綠墨綠斑雜之中有平靜人心的魔力，眾多學子齊聚在豔陽下飽覽風光明媚，或在向晚薄暮時欣賞那火球似的夕陽隱沒在萬丈高樓營建的天際線下。他們爭相分享那些太擁擠的景色，被打亂的祥和裂了一線破綻，自然和美產生了差距。我則喜愛面南朝著石牆邊一排數公尺的狹長草地和相間的鵝卵石，在多收人擁抱山之青、陽之明，我獨享著那土壤中鑽出的渺小生命，瞧他們一天天變換姿態，舞出短暫卻華美的一生。
    花草縱然不起眼，但植物體內流著的水珠就如同人的血液，奔騰的脈搏鼓動著不息的生命力，而我為這種生命力著迷！四季遞嬗，草木興衰，花開花謝皆為必然，卻沒有一刻重覆著上一代的生命史，每一次的凋謝孕育著下一輪的新生，怎不教人動容？一天將雨的午後，我迫切尋來朋友們一窺那扭動的蚯*蚓共織這午後的奏鳴曲，在我看來點綴了草皮的功臣卻遭她們以一句「好噁心」回絕，自此我堅信著這番趣味勢必屬於我自己，生命更迭的喜與哀成了我獨享的情感。
    「有人喜歡晦暗，因為他們厭倦了光明被寵大身軀遮蔽；有人喜愛孤獨，因為他們禁不起自我被踩碎在眾人足下」，我喜歡獨享、享受獨享，視獨享為連接快樂的另一捷徑，因為世上萬物都值得一雙為他們喝彩鼓掌的手，和一顆懂得欣賞他們的心。在背向陽光的校園一隅，我獨享一方天地，不受一點塵埃沾溉的雀躍，那才是極樂。
"
104_C05,A+,5,5,5,4,5,24,"在傳統價值中，總是鼓勵人們貢獻所能，分享所有。但兩人間的愛情承諾不容第三者分享，一向符合世道輿情；有些商家只讓會員獨享優惠，也有合理目的。此外，有些生活中的趣味本來就不需要、甚至無法與別人分享，例如：一杯啜飲咖啡的時光、一竿臨溪垂釣的等待、一路揮汗慢跑的苦練……，都可能如王維所說：「興來每獨往，勝事空自知」。
請以「獨享」為題，寫一篇文章，談論關於「獨享」的經驗、體會或反思，論說、記敘、抒情皆可，文長不限。","三、引導寫作
        獨享
    觀看著自己一筆一筆構築的世界，凝視著畫作中映照的自身，藝術創作的過程好比一場對話，而聆聽與訴說的對象都是自己。畫在上那絢麗奪目的，又或者描繪卻又被塗蓋隱藏的，甚至完成後展示他人欣賞的，都是每一個部份的我。這樣的凝鍊與拼合，他只有我一個人能明白透澈。
    藝術創作之於我，如同終身的信仰或堅定不移的生活方式，我總能在每一次的創作中找到或發現自己。高二那年的系列作品，靈感源自閱讀卡夫卡的著作《變形記》，我描繪了四不同型態的昆蟲，如同小說中一夜驚醒，竟幻化為蟲的主角，在畫出作品的日子裡，彷彿我也變形羽化成自己筆下的蝶與蟬。薄如絲綢的蟬翼，與細膩璀璨的蝶蛹，我逐漸感到自己就是牠們，揮動著脆弱的翅膀，僅僅一陣風就會被吹破。創作本身亦如蛹的蛻變，如何掙脫過去的軀殼，去超越與跨出自己。
    宛若重新從夢境甦醒，每每完成一件作品，我都能確實感到自己的改變。不只技巧的成熟，心境上經由過程的鍛鍊，驚覺每次的主角其實都是自己。觀看世界的眼光因而多了那點敏感，好像認識一個陌生的我。漸漸地，更加明白成果展示的只是最終型態，我的作品就是我，但作品生成的掙扎與一再修改，都只有我自己能體會。如同生命這件事，一個人的成長與洗練，除了自己，無人能享受到跨越後成就的喜悅。在這世上，也只有我能過屬於自己的精彩。
    藝術創作之於我，好比我的人生。濃縮的生命體驗，回頭望自己已走過許多路，這份愉悅和感動，從出生到死亡，皆由我一人獨享。這是創作教會我的，生命價值就是不斷明白自己的成長，得到歡愉與喜樂。
"
104_C12,A+,5,5,5,4,5,24,"在傳統價值中，總是鼓勵人們貢獻所能，分享所有。但兩人間的愛情承諾不容第三者分享，一向符合世道輿情；有些商家只讓會員獨享優惠，也有合理目的。此外，有些生活中的趣味本來就不需要、甚至無法與別人分享，例如：一杯啜飲咖啡的時光、一竿臨溪垂釣的等待、一路揮汗慢跑的苦練……，都可能如王維所說：「興來每獨往，勝事空自知」。
請以「獨享」為題，寫一篇文章，談論關於「獨享」的經驗、體會或反思，論說、記敘、抒情皆可，文長不限。","三、引導寫作：
        獨享
　　且看都燦白雲漾點染墨藍大山，一如﹏快雪時晴﹏的幻化與靈動，我推窗，飽吸一口平旦清氣，彷彿在這縱谷中只有我，佇立於廣豪*的原野。我坐下，拿出墨盒，輕柔地撫過紋木，正準備開啟我與書藝對浩氣時空的獨享。
    書法，是純粹，純淨，樸素又不失變化的藝術。它只用一種顏色，即足以幻變出無數的人心意念，透過書法，我得以在心煩意亂時，如注入一泓清泉於心，止定心湖，使之澄明以觀照萬物於自身。這是適合在一個人時，獨自體悟，並獨自享受寧靜的愉悅詳和。
    輕展柔白素宣，想像思慮奔馳於無盡的紙面，放鬆，輕持墨條於硯中，將清水慢慢地磨。此時不宜快，磨著墨，磨出意韻也磨出古香。接著，蘸飽羊毫，以意領筆自由揮灑於白宣之上，隨著心思所往以最自在的形式，獨享這一片刻的平靜。或許忽如飛鴻之勢，氣勢磅礡；或許如小橋流水，涓涓細流；更可仰首遠望窗外高山平野，獨享這天地浩氣，無人攪擾，自在自適的舒懷，擁懷寧靜的大千。
    而另一獨享之樂，在於神交古人。當書_顏_字，則如交剛毅友，使我心生敬畏；當書_歐_體，其疏蕩但勻稱的筆劃使我心平靜定；而我總在遭遇困阨時。書寫「難得糊塗」，彷彿_鄭板橋_在旁，勸慰看淡成敗，放下得失，如同我們抵掌相談，使我享受「放下」哲思，胸憶頓時開闊。此樂亦只能獨享，因著每個人的心境不同，若是共享則失去了尋得知音的欣慰及透過自我觀照的療癒。
    我獨自坐於窗前，手持蘭桂筆桿，猶搖桂棹兮蘭槳；當書寫於紙上，猶擊空明兮泝流光。我想像我盪舟於白紙上，自由地放歌，獨享寧靜一空的廣闊與心平氣靜的安適、胸臆的滿盈浩然大氣。獨自享受獨享的當下。
    或許，我會說：「此樂非常，安肯為俗士道哉？」和_袁宏道_心有靈犀呢！"
104_C14,A+,5,5,5,5,4,24,"在傳統價值中，總是鼓勵人們貢獻所能，分享所有。但兩人間的愛情承諾不容第三者分享，一向符合世道輿情；有些商家只讓會員獨享優惠，也有合理目的。此外，有些生活中的趣味本來就不需要、甚至無法與別人分享，例如：一杯啜飲咖啡的時光、一竿臨溪垂釣的等待、一路揮汗慢跑的苦練……，都可能如王維所說：「興來每獨往，勝事空自知」。
請以「獨享」為題，寫一篇文章，談論關於「獨享」的經驗、體會或反思，論說、記敘、抒情皆可，文長不限。","　　三引導寫作
        獨享
　　什麼是享受？也許是在燈紅酒綠的不夜城徹夜狂歡，今朝有酒今朝醉的恣意；也許是剛從絲竹亂耳、版牘勞形的一天開脫，回到家細品一壺甘茗的愉悅；也許是在小亭下聽雨，聞自然萬籟的寧靜詳和。而我的享受，獨一無二。
    來自遍遠地區的我，體內奔騰的是原住民的血。不同於生長於文明環境的人們，我的享受不是成天沉湎於虛擬世界，而是背著登山背包，一步一腳印地沿著祖先的足跡，遁入深山野地，追尋我的「根」。令我刻骨銘心的一次尋根之旅，是一場艱辛的旅程，中途歷經數天的漫漫長路、汗水淋漓與腳掌上水泡的折騰，我們一家人才抵達目的地。
    我被眼前的景像震懾。不似一路上旳草木葳蕤，偶爾穿插著小流怪石，眼前是一座碧綠的湖——充滿生機的，飽滿的，如處女初戀般怦然心動的綠，湖是時代洪流下一滴被遺忘的淚，寧靜地流淌。水底招搖的水草，珊珊可愛地朝我們這群外來客歡迎；湖畔是牽牛花編織的紅毯，每個小小的酒杯都酙著釀得香醇的陽光。如同桃花源境的風景，鋪天蓋地得撞進眼簾，令鄙陋的我措手不及。
    夜晚，家人都熟睡之際，我悄悄溜出帳蓬*一窺夜色。螢光繚繞的湖畔，月光灑落如鏡的水面，鍍上一層柔和的銀色。螢火蟲緩緩飛入掌心，忽明忽滅，宛若來自異世的歌聲，幽幽如雲中仙鶴不得網弋，漸漸在掌心凝聚成了固態的光。遠方傳來一陣窸窣，原來是幾隻山羌前來渴飲湖中甘醴，施施而行。面對我這個陌生人，他們無驚無懼，彷彿我們相識已久，抑或，對於同樣生存於自然之間的我們，是一種同類熟悉感與認同？牠的眼睛，無聲而安詳，閃爍著星光，如糅雜金粉般熠熠生輝。
    那一夜，我睡去。不代有任何身份，無異於一株草、一棵樹或一滴露。歸屬感油然而生，帶有另一種超然的恬靜。我想，真正的享受莫過於此吧。在那，我聆聽了真正醇美的歌音、欣賞了真正美麗之景，並在浩瀚宇宙中，找到了我真正的歸宿。我屬於那裡，那個萬物齊一的世界。
    此樂，絕無僅有。普天之下，唯我獨享。
"
104_C13,A+,5,5,5,5,4,24,"在傳統價值中，總是鼓勵人們貢獻所能，分享所有。但兩人間的愛情承諾不容第三者分享，一向符合世道輿情；有些商家只讓會員獨享優惠，也有合理目的。此外，有些生活中的趣味本來就不需要、甚至無法與別人分享，例如：一杯啜飲咖啡的時光、一竿臨溪垂釣的等待、一路揮汗慢跑的苦練……，都可能如王維所說：「興來每獨往，勝事空自知」。
請以「獨享」為題，寫一篇文章，談論關於「獨享」的經驗、體會或反思，論說、記敘、抒情皆可，文長不限。","三、引導寫作
        獨享
　　陽光和煦，惠風和暢，我獨步在如詩的古道上。一路蜂忙蝶舞，一路鳥語花香，我腳步輕盈，點塵不驚。
    台灣海峽上的蕞爾小島，中國沾海一隅，在馬祖東莒島，就是我獨享的桃光仙境。
    古道兩旁，桃李爭艷，豆梨也不遑多讓，它們幻化換最豔麗的色彩，為大地妝點，為山林著色。黃鶯扯著嗓子，唱出宛轉動聽的曲子，一會兒翳入天聽，一會兒又跌落谷底，儼然是這世上最悅耳的獨唱。我躺在林間的吊床上，望向對面崖壁上走險的羊群，望向廣袤天際扶遙直上的鳶鷹，望著隨風婆娑起舞的綠葉。在徐徐微風中，在沙沙的樹葉聲裡，在斑駁的綠蔭下，我輕輕的闔上雙眼，用心體會，這大自然，唯我獨享的恩賜。
    沒有喧嚣紛擾，只有漁煙袅袅；沒有太多足跡，只有鷸鳥的印記，我漫步在一處靜謐的神祕小海灣。海風輕拂臉龐，浪花追逐著沙灘，湛藍如藍寶石的大海是我獨享的游泳池。縱身一躍，沁涼的海水灌透全身，神清氣爽。鯨豚在浪間穿梭、嬉戲。魚兒在水裡悠游，和我一樣快意自得，聽著碎浪輕拍沙灘嘩啦啦的聲響，看著藍天如跑馬燈飛逝的雲翳，我輕飄在海面上，忘卻一切煩腦，只專心享受，這獨享的小小海灣。
    日漸西沉，夕陽斜斜撒落，為天地間綴上了橘紅的色彩，雲彩也換上了火紅的霓裳，為的是和夕陽今日的最後一支舞蹈。波光粼粼的海面，偶爾一艘歸航的漁船劃破，漁夫和歌而歸；天上數行飛雁與雲彩和呼應，一幅如詩如畫的美景。鹹鹹的海風中漫著淡淡的魚味，這五味雜陳的滋味，卻也是我一人獨享的。踩著冉冉東升的明月，我踏上了歸途。
    儘管現在是個離鄉背井的學子，心中充滿了鄉愁與思念，但只要憶起那與世無爭，唯我獨享的海上桃花源，還有那些單純美好的日子，緃使長風破浪會有時，儘管踟躕前路，我的臉上，依舊揚起了最甜最美的笑顏。
"
104_C09,A+,5,5,5,4,5,24,"在傳統價值中，總是鼓勵人們貢獻所能，分享所有。但兩人間的愛情承諾不容第三者分享，一向符合世道輿情；有些商家只讓會員獨享優惠，也有合理目的。此外，有些生活中的趣味本來就不需要、甚至無法與別人分享，例如：一杯啜飲咖啡的時光、一竿臨溪垂釣的等待、一路揮汗慢跑的苦練……，都可能如王維所說：「興來每獨往，勝事空自知」。
請以「獨享」為題，寫一篇文章，談論關於「獨享」的經驗、體會或反思，論說、記敘、抒情皆可，文長不限。","三引導寫作
        獨享
　　晚秋的陽光斜射在大片的窗玻璃上，毫不保留地傾倒一池清澈的水波，頓時紙面浮光躍金。我在窗前，翻著牛皮紙質的小冊，密密麻麻的是過往的記憶與情感，在時間凍結的這一刻再度被賦予生命，自紙面回到我身上。此刻，由我獨享。
    我並不是個擅長持之以恆地完成某個任務的人，因此日記看來是飽經戰亂而散佚的斷簡殘篇。閱讀自己的日記，只能搜索腦中殘存的故事情節，才能辨識出飛揚跋扈的悲傷或喜樂，時而如接劍欲起的憤怒，時而又滿溢閨中等待歸人的怨婦哀愁。有時是突然興起的一個想法，卻到回頭閱讀之時都未付諸實踐。日記中的喃喃私語是不連續的點與點，記載時雜亂無章。但此時我一氣呵成地遍讀，忽然一切像是鮮活的電影情節，無聲無息地推衍，最終，定格於現在的我。我注視著空白的格線，略一思索，提筆，這是我獨享的故事情節，為我獨創。
    天地之間有百代之過客。千百年以前的雅士與現在的我共享蒼穹之無盡，共覽宇宙之無垠。赤壁賦中所言的水與月，於今亦無二致。古今雖有同樣的感慨，但唯有我現在所擁有的生命，是惟我獨享的。只有我能記錄下自己的日記，也惟有我才能讀懂每一刻的意義。沒有一把非我的嗓子能唱出和我相同的音律，也沒有兩顆不同的心能為同一個瞬間心跳。產生共鳴固然可貴，但寫下屬於自己的文字才是只屬於我的快樂。因為生命無法重塑，無法複製，我喜歡獨享。翻開自己的日記，我看見頁尾的註角有那一日我所擷取的某段文字，那是_瘂弦_的詩句：「今天的雲抄襲昨天的雲。」我看著日記裡的小字，暗自發誓，我會讓每一個為我獨享的剎那各自不同。我踩著同一片雲下的不同步伐，往未知的旅途，獨自前行。
    杯緣冒出的白煙環了兩圈，轉瞬消散。我寫完今日的天氣，隨手夾入一片四點半的落日餘暉。闔上日記，我不必加鎖防止有心人偷窺，因那些時光與故事正如我一飲而盡的冷茶，惟我獨享。
"
